"","wave","date_W2_dateformat_1day_before","cross_cutting_consumption_w2_01","worried_from_covid_total_01","age","female","female_numeric","education_numeric","political_interest_w2","political_knowledge_w2","right_ideology_w2","right_ideology_w2_binary","news_consumption_internet_w2","news_consumption_socialmedia_w2","cross_cutting_consumption_w1_01","exposure_counter_social_media_w2_01","exposure_counter_social_media_w1_01","like_minded_consumption_w2_01","like_minded_consumption_w1_01","exposure_like_minded_social_media_w2_01","exposure_like_minded_social_media_w1_01","dCountry_W2","country_to_match_covid_data","confirmed_per_100k","GovernmentResponseIndex","freedom_house","number_of_partisan_outlets","elite_polarization","corruption_index_01_rev","transparency_index","like_minded_consumption_w2_minus_w1","cross_cutting_consumption_w2_minus_w1","exposure_like_minded_social_media_w2_minus_w1","exposure_counter_social_media_w2_minus_w1","cross_cutting_opportunities"
"1",2,2020-05-13,0.0333333333333333,0.277777777777778,44,"Male",0,2,3,0.833333333333333,10,"Right",6,1,0,0.166666666666667,0.166666666666667,0,0.166666666666667,0.333333333333333,0.333333333333333,"Netherlands","Netherlands",253.303921058338,58.33,99,12,16.6138077634218,0.116279069767442,76.000001,-0.166666666666667,0.0333333333333333,0,0,"Balanced"
"2",2,2020-05-04,0.233333333333333,0.777777777777778,56,"Male",0,3,6,0.833333333333333,8,"Right",7,6,0.233333333333333,0.333333333333333,0.333333333333333,0.566666666666667,0.466666666666667,0.166666666666667,0.166666666666667,"Netherlands","Netherlands",239.054481407924,65,99,12,16.6138077634218,0.116279069767442,76.000001,0.1,0,0,0,"Balanced"
"3",2,2020-05-04,0,0.555555555555555,53,"Male",0,3,7,1,2,"Left",6,1,0,0,0,0.533333333333333,0.4,0,0,"Austria","Austria",173.376030089581,65,93,5,16.5074366171336,0.232558139534884,77.000001,0.133333333333333,0,0,0,"Balanced"
"4",2,2020-05-11,NA,0.388888888888889,46,"Female",1,2,4,0.833333333333333,5,NA,7,7,0,0.166666666666667,0,NA,NA,0,0,"Norway","Norway",149.923959496932,48.89,100,3,15.6870950693288,0.0697674418604651,76,NA,NA,0,0.166666666666667,"More right sources"
"5",2,2020-05-11,NA,0.555555555555555,55,"Male",0,3,6,0.833333333333333,8,"Right",7,7,NA,0.333333333333333,0.666666666666667,0.2,0.2,0.5,0.5,"Norway","Norway",149.923959496932,48.89,100,3,15.6870950693288,0.0697674418604651,76,0,NA,0,-0.333333333333333,"More right sources"
"6",2,2020-05-14,NA,1,63,"Male",0,2,7,0.666666666666667,NA,NA,6,1,NA,0,0,NA,NA,0,0,"France","France",274.179187221094,73.89,90,7,13.104191037855,0.418604651162791,66,NA,NA,0,0,"More right sources"
"7",2,2020-05-18,0,0.222222222222222,42,"Male",0,2,1,0.333333333333333,2,"Left",6,1,NA,0,0,0,NA,0,0,"France","France",275.798277251445,73.89,90,7,13.104191037855,0.418604651162791,66,NA,NA,0,0,"More right sources"
"8",2,2020-05-15,NA,0.333333333333333,57,"Female",1,3,3,0.666666666666667,NA,NA,6,6,NA,0.166666666666667,0,NA,NA,1,0.166666666666667,"Italy","Italy",370.330420550358,61.39,89,10,8.9716582424672,0.790697674418605,61,NA,NA,0.833333333333333,0.166666666666667,"More left sources"
"9",2,2020-05-14,NA,0.611111111111111,50,"Female",1,1,2,0,NA,NA,3,6,NA,0.333333333333333,0,NA,NA,0.333333333333333,0,"UK","United Kingdom",345.219786789527,59.17,93,5,17.1763633648128,0.232558139534884,73,NA,NA,0.333333333333333,0.333333333333333,"Balanced"
"10",2,2020-05-14,0,0.944444444444445,62,"Male",0,3,3,0.333333333333333,8,"Right",7,1,0,0,0,0.08,0.04,0,0,"France","France",274.179187221094,73.89,90,7,13.104191037855,0.418604651162791,66,0.04,0,0,0,"More right sources"
